QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
QueryDirectory	C:\Windows\System32
CloseFile	C:\Windows\System32
CreateFile	C:\Windows\System32\cmd.exe
QueryStandardInformationFile	C:\Windows\System32\cmd.exe
QueryStandardInformationFile	C:\Windows\System32\cmd.exe
ReadFile	C:\Windows\System32\cmd.exe
ReadFile	C:\Windows\System32\cmd.exe
CloseFile	C:\Windows\System32\cmd.exe
RegOpenKey	HKCU
RegOpenKey	HKCU\Control Panel\Desktop\MuiCached\MachineLanguageConfiguration
RegCloseKey	HKCU
RegOpenKey	HKLM\Software\Policies\Microsoft\MUI\Settings
RegOpenKey	HKCU
RegOpenKey	HKCU\Software\Policies\Microsoft\Control Panel\Desktop
RegOpenKey	HKCU\Control Panel\Desktop\LanguageConfiguration
RegEnumValue	HKCU\Control Panel\Desktop\LanguageConfiguration
RegCloseKey	HKCU\Control Panel\Desktop\LanguageConfiguration
RegCloseKey	HKCU
RegOpenKey	HKLM\Software\Policies\Microsoft\MUI\Settings
RegOpenKey	HKCU
RegOpenKey	HKCU\Software\Policies\Microsoft\Control Panel\Desktop
RegOpenKey	HKCU\Control Panel\Desktop
RegQueryValue	HKCU\Control Panel\Desktop\PreferredUILanguages
RegCloseKey	HKCU\Control Panel\Desktop
RegCloseKey	HKCU
RegOpenKey	HKLM\Software\Policies\Microsoft\MUI\Settings
RegOpenKey	HKCU
RegOpenKey	HKCU\Control Panel\Desktop\MuiCached
RegQueryValue	HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages
RegQueryValue	HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages
RegCloseKey	HKCU\Control Panel\Desktop\MuiCached
RegCloseKey	HKCU
CreateFile	C:\Windows\system32\ui\SwDRM.dll
QuerySecurityFile	C:\Windows\System32\cmd.exe
QueryBasicInformationFile	C:\Windows\System32\cmd.exe
QuerySecurityFile	C:\Windows\System32\cmd.exe
QueryBasicInformationFile	C:\Windows\System32\cmd.exe
CloseFile	C:\Windows\AppPatch\sysmain.sdb
RegOpenKey	HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options
RegQueryValue	HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DisableLocalOverride
RegOpenKey	HKLM\Software\Microsoft\Windows\CurrentVersion\SideBySide
RegQueryValue	HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\PreferExternalManifest
RegCloseKey	HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide
CreateFile	C:\Windows\AppPatch\sysmain.sdb
QueryStandardInformationFile	C:\Windows\AppPatch\sysmain.sdb
CreateFileMapping	C:\Windows\AppPatch\sysmain.sdb
QueryStandardInformationFile	C:\Windows\AppPatch\sysmain.sdb
CreateFileMapping	C:\Windows\AppPatch\sysmain.sdb
QueryStandardInformationFile	C:\Windows\AppPatch\sysmain.sdb
CloseFile	C:\Windows\AppPatch\sysmain.sdb
CreateFile	C:\Windows\AppPatch\sysmain.sdb
QueryStandardInformationFile	C:\Windows\AppPatch\sysmain.sdb
CreateFileMapping	C:\Windows\AppPatch\sysmain.sdb
QueryStandardInformationFile	C:\Windows\AppPatch\sysmain.sdb
CreateFileMapping	C:\Windows\AppPatch\sysmain.sdb
QueryStandardInformationFile	C:\Windows\AppPatch\sysmain.sdb
CloseFile	C:\Windows\AppPatch\sysmain.sdb
CloseFile	C:\Windows\System32\cmd.exe
QueryNameInformationFile	C:\ST\e.exe
QueryNameInformationFile	C:\Windows\System32\apphelp.dll
QueryNameInformationFile	C:\Windows\System32\msvcrt.dll
RegCloseKey	HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options
