"e.exe","RegQueryValue","HKCU\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers\C:\ST\e.exe"
"e.exe","RegCloseKey","HKCU\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers"
"e.exe","CloseFile","C:\Windows\AppPatch\sysmain.sdb"
"e.exe","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions"
"e.exe","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions"
"e.exe","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)"
"e.exe","ReadFile","C:\Windows\System32\msvcrt.dll"
"e.exe","QueryNameInformationFile","C:\ST\e.exe"
"e.exe","ReadFile","C:\Windows\System32\msvcrt.dll"
"e.exe","ReadFile","C:\Windows\System32\msvcrt.dll"
"e.exe","CreateFile","C:\Windows\System32\cmd.exe"
"e.exe","QueryBasicInformationFile","C:\Windows\System32\cmd.exe"
"e.exe","CloseFile","C:\Windows\System32\cmd.exe"
"e.exe","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager"
"e.exe","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager"
"e.exe","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode"
"e.exe","CreateFile","C:\Windows\System32\cmd.exe"
"e.exe","CreateFileMapping","C:\Windows\System32\cmd.exe"
"e.exe","QueryStandardInformationFile","C:\Windows\System32\cmd.exe"
"e.exe","ReadFile","C:\Windows\System32\cmd.exe"
"e.exe","ReadFile","C:\Windows\System32\cmd.exe"
"e.exe","CreateFileMapping","C:\Windows\System32\cmd.exe"
"e.exe","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\cmd.exe"
"e.exe","QuerySecurityFile","C:\Windows\System32\cmd.exe"
"e.exe","ReadFile","C:\Windows\System32\cmd.exe"
"e.exe","ReadFile","C:\Windows\System32\cmd.exe"
"e.exe","QueryNameInformationFile","C:\Windows\System32\cmd.exe"
"e.exe","Process Create","C:\Windows\system32\cmd.exe"
"e.exe","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\AppCertDlls"
"e.exe","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\AppCertDlls"
